	id	name	light	number	address	activate	no_available	total_bases	dock_bikes	free_bases	reservations_count	geometry.type	geometry.coordinates
0	1	1a - Puerta del Sol A	3	1a	Puerta del Sol nº 1	1	1	30	0	0	0	Point	[-3.7018341, 40.4172137]
1	2	1b - Puerta del Sol B	3	1b	Puerta del Sol nº 1	1	1	30	0	0	0	Point	[-3.701602938060457, 40.41731271011562]
2	3	2 - Miguel Moya	3	2	Calle Miguel Moya nº 1	1	1	24	0	0	0	Point	[-3.7058415, 40.4205886]
3	4	3 - Plaza Conde Suchil	2	3	Plaza del Conde del Valle de Súchil nº 3	1	0	18	9	9	0	Point	[-3.7069171, 40.4302937]
4	5	4 - Malasaña	1	4	Calle Manuela Malasaña nº 5	1	0	24	23	1	0	Point	[-3.7025875, 40.4285524]
5	6	5 - Fuencarral	1	5	Calle Fuencarral nº 108	1	0	27	25	0	0	Point	[-3.70205, 40.42852]
6	7	6 - Colegio Arquitectos	3	6	Calle Hortaleza nº 63	1	1	24	0	0	0	Point	[-3.698447, 40.424148]
7	8	7 - Hortaleza	3	7	Calle Hortaleza nº 75	1	1	21	0	0	0	Point	[-3.6977715, 40.4251906]
8	9	8 - Alonso Martínez	1	8	Plaza de Alonso Martínez nº 5	1	0	24	22	0	0	Point	[-3.6954403, 40.4278682]
9	10	9 - Plaza de San Miguel	2	9	Plaza de San Miguel nº 9	1	0	24	10	10	0	Point	[-3.7095084, 40.4156057]
10	11	10 - Marqués de la Ensenada	2	10	Calle Marqués de la Ensenada nº 16	1	0	24	8	12	0	Point	[-3.69214, 40.42533]
11	12	11 - San Andrés	1	11	Calle San Andrés nº 18	1	0	24	16	1	0	Point	[-3.7035918, 40.4269483]
12	13	12 - San Hermenegildo	1	12	Calle San Bernardo nº 85	1	0	24	18	2	0	Point	[-3.7061931, 40.4284246]
13	14	13 - Conde Duque	1	13	Calle Conde Duque nº 22	1	0	24	14	1	0	Point	[-3.7104417, 40.4273264]
14	15	14 - Ventura Rodríguez	3	14	Calle Duque de Liria	1	1	24	0	0	0	Point	[-3.713479, 40.4260957]
15	16	15 - San Vicente Ferrer	1	15	Calle San Vicente Ferrer nº 64	1	0	21	20	0	0	Point	[-3.7074453, 40.4262383]
16	17	16 - San Bernardo	1	16	Calle San Bernardo nº 22	1	0	21	17	1	0	Point	[-3.7075065, 40.4230721]
