,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,17,9,1406,2,0,0,2024-02-21 00:48:56
1,15,4,1407,1,0,0,2024-02-21 00:48:56
2,1,26,1408,0,0,0,2024-02-21 00:48:56
3,4,22,1409,0,0,0,2024-02-21 00:48:56
4,4,15,1410,0,0,0,2024-02-21 00:48:56
5,13,6,1411,2,0,0,2024-02-21 00:48:56
6,8,16,1412,2,0,0,2024-02-21 00:48:56
7,11,13,1413,2,0,0,2024-02-21 00:48:56
8,7,16,1414,0,0,0,2024-02-21 00:48:56
9,8,15,1415,2,0,0,2024-02-21 00:48:56
10,16,11,1416,2,0,0,2024-02-21 00:48:56
11,11,12,1417,2,0,0,2024-02-21 00:48:56
12,2,25,1418,0,0,0,2024-02-21 00:48:56
13,19,0,1419,1,0,0,2024-02-21 00:48:56
14,14,5,1420,1,0,0,2024-02-21 00:48:56
15,4,19,1421,0,0,0,2024-02-21 00:48:56
16,20,3,1422,1,0,0,2024-02-21 00:48:56
17,24,4,1423,1,0,0,2024-02-21 00:48:56
18,22,5,1424,1,0,0,2024-02-21 00:48:56
19,0,0,1425,3,1,0,2024-02-21 00:48:56
20,15,9,1426,2,0,0,2024-02-21 00:48:56
21,1,17,1427,0,0,0,2024-02-21 00:48:56
22,3,21,1428,0,0,0,2024-02-21 00:48:56
23,6,18,1429,0,0,0,2024-02-21 00:48:56
24,11,16,1430,2,0,0,2024-02-21 00:48:56
25,23,4,1431,1,0,0,2024-02-21 00:48:56
26,9,9,1432,2,0,0,2024-02-21 00:48:56
27,12,11,1433,2,0,0,2024-02-21 00:48:56
28,21,6,1434,1,0,0,2024-02-21 00:48:56
29,9,18,1435,2,0,0,2024-02-21 00:48:56
30,10,8,1436,2,0,0,2024-02-21 00:48:56
31,9,14,1437,2,0,0,2024-02-21 00:48:56
32,16,8,1438,2,0,0,2024-02-21 00:48:56
33,18,6,1439,1,0,0,2024-02-21 00:48:56
34,9,14,1440,2,0,0,2024-02-21 00:48:56
35,18,6,1441,1,0,0,2024-02-21 00:48:56
36,22,5,1442,1,0,0,2024-02-21 00:48:56
37,29,2,1443,1,0,0,2024-02-21 00:48:56
