,activate,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
0,1,11,16,1406,2,0,0,2024-03-11 07:19:14
1,1,10,9,1407,2,0,0,2024-03-11 07:19:14
2,1,18,8,1409,1,0,0,2024-03-11 07:19:14
3,1,3,16,1410,0,0,0,2024-03-11 07:19:14
4,1,11,8,1411,2,0,0,2024-03-11 07:19:14
5,1,17,4,1412,1,0,0,2024-03-11 07:19:14
6,1,19,5,1413,1,0,0,2024-03-11 07:19:14
7,1,13,10,1414,2,0,0,2024-03-11 07:19:14
8,1,3,20,1415,0,0,0,2024-03-11 07:19:14
9,1,11,16,1416,2,0,0,2024-03-11 07:19:14
10,1,3,20,1417,0,0,0,2024-03-11 07:19:14
11,1,26,1,1418,1,0,0,2024-03-11 07:19:14
12,1,6,13,1419,0,0,0,2024-03-11 07:19:14
13,1,11,8,1420,2,0,0,2024-03-11 07:19:14
14,1,12,11,1421,2,0,0,2024-03-11 07:19:14
15,1,7,17,1422,0,0,0,2024-03-11 07:19:14
16,1,15,13,1423,2,0,0,2024-03-11 07:19:14
17,1,20,7,1424,1,0,0,2024-03-11 07:19:14
18,1,0,0,1425,3,1,0,2024-03-11 07:19:14
19,1,5,19,1426,0,0,0,2024-03-11 07:19:14
20,1,13,5,1427,1,0,0,2024-03-11 07:19:14
21,1,0,24,1428,0,0,0,2024-03-11 07:19:14
22,1,0,24,1429,0,0,0,2024-03-11 07:19:14
23,1,17,10,1430,2,0,0,2024-03-11 07:19:14
24,1,21,4,1431,1,0,0,2024-03-11 07:19:14
25,1,9,9,1432,2,0,0,2024-03-11 07:19:14
26,1,9,14,1433,2,0,0,2024-03-11 07:19:14
27,1,14,13,1434,2,0,0,2024-03-11 07:19:14
28,1,13,14,1435,2,0,0,2024-03-11 07:19:14
29,1,5,13,1436,0,0,0,2024-03-11 07:19:14
30,1,16,7,1437,2,0,0,2024-03-11 07:19:14
31,1,15,9,1438,2,0,0,2024-03-11 07:19:14
32,1,17,7,1439,1,0,0,2024-03-11 07:19:14
33,1,21,3,1440,1,0,0,2024-03-11 07:19:14
34,1,14,7,1441,1,0,0,2024-03-11 07:19:14
35,1,14,13,1442,2,0,0,2024-03-11 07:19:14
36,1,17,14,1443,2,0,0,2024-03-11 07:19:14
37,1,17,1,1444,1,0,0,2024-03-11 07:19:14
38,1,8,8,1445,2,0,0,2024-03-11 07:19:14
39,1,13,11,1446,2,0,0,2024-03-11 07:19:14
40,1,10,8,1447,2,0,0,2024-03-11 07:19:14
41,1,14,5,1448,1,0,0,2024-03-11 07:19:14
42,1,9,6,1449,2,0,0,2024-03-11 07:19:14
43,1,24,3,1450,1,0,0,2024-03-11 07:19:14
44,1,21,3,1451,1,0,0,2024-03-11 07:19:14
45,1,21,2,1452,1,0,0,2024-03-11 07:19:14
46,1,15,12,1453,2,0,0,2024-03-11 07:19:14
47,1,12,12,1454,2,0,0,2024-03-11 07:19:14
48,1,17,10,1455,2,0,0,2024-03-11 07:19:14
49,1,4,11,1456,0,0,0,2024-03-11 07:19:14
50,1,10,14,1457,2,0,0,2024-03-11 07:19:14
51,1,3,16,1458,0,0,0,2024-03-11 07:19:14
52,1,13,8,1459,2,0,0,2024-03-11 07:19:14
53,1,20,3,1460,1,0,0,2024-03-11 07:19:14
54,1,6,17,1461,0,0,0,2024-03-11 07:19:14
55,1,11,11,1462,2,0,0,2024-03-11 07:19:14
56,1,3,16,1463,0,0,0,2024-03-11 07:19:14
57,1,18,5,1464,1,0,0,2024-03-11 07:19:14
58,1,19,8,1465,1,0,0,2024-03-11 07:19:14
59,1,19,6,1466,1,0,0,2024-03-11 07:19:14
60,1,20,3,1467,1,0,0,2024-03-11 07:19:14
61,1,15,9,1468,2,0,0,2024-03-11 07:19:14
62,1,9,14,1469,2,0,0,2024-03-11 07:19:14
63,1,5,14,1470,0,0,0,2024-03-11 07:19:14
64,1,19,8,1471,1,0,0,2024-03-11 07:19:14
65,1,12,15,1472,2,0,0,2024-03-11 07:19:14
66,1,11,12,1473,2,0,0,2024-03-11 07:19:14
67,1,19,4,1474,1,0,0,2024-03-11 07:19:14
68,1,14,9,1475,2,0,0,2024-03-11 07:19:14
69,1,20,7,1476,1,0,0,2024-03-11 07:19:14
70,1,12,12,1478,2,0,0,2024-03-11 07:19:14
71,1,5,13,1479,0,0,0,2024-03-11 07:19:14
72,1,9,14,1480,2,0,0,2024-03-11 07:19:14
73,1,14,13,1481,2,0,0,2024-03-11 07:19:14
74,1,4,20,1484,0,0,0,2024-03-11 07:19:14
75,1,22,1,1485,1,0,0,2024-03-11 07:19:14
76,1,17,6,1486,1,0,0,2024-03-11 07:19:14
77,1,17,6,1487,1,0,0,2024-03-11 07:19:14
78,1,20,5,1488,1,0,0,2024-03-11 07:19:14
79,1,18,6,1489,1,0,0,2024-03-11 07:19:14
80,1,10,13,1490,2,0,0,2024-03-11 07:19:14
81,1,12,11,1491,2,0,0,2024-03-11 07:19:14
82,1,14,9,1492,2,0,0,2024-03-11 07:19:14
83,1,17,10,1493,2,0,0,2024-03-11 07:19:14
84,1,2,21,1494,0,0,0,2024-03-11 07:19:14
85,1,7,16,1495,0,0,0,2024-03-11 07:19:14
86,1,11,12,1496,2,0,0,2024-03-11 07:19:14
87,1,10,13,1497,2,0,0,2024-03-11 07:19:14
88,1,7,16,1498,0,0,0,2024-03-11 07:19:14
89,1,10,17,1499,2,0,0,2024-03-11 07:19:14
90,1,15,12,1500,2,0,0,2024-03-11 07:19:14
91,1,6,18,1501,0,0,0,2024-03-11 07:19:14
92,1,17,6,1502,1,0,0,2024-03-11 07:19:14
93,1,15,12,1503,2,0,0,2024-03-11 07:19:14
94,1,10,14,1504,2,0,0,2024-03-11 07:19:14
95,1,18,5,1505,1,0,0,2024-03-11 07:19:14
96,1,8,15,1506,2,0,0,2024-03-11 07:19:14
97,1,11,12,1507,2,0,0,2024-03-11 07:19:14
98,1,7,16,1508,0,0,0,2024-03-11 07:19:14
99,1,2,17,1510,0,0,0,2024-03-11 07:19:14
100,1,16,7,1511,2,0,0,2024-03-11 07:19:14
101,1,9,18,1512,2,0,0,2024-03-11 07:19:14
102,1,15,8,1513,2,0,0,2024-03-11 07:19:14
103,1,13,10,1514,2,0,0,2024-03-11 07:19:14
104,1,10,12,1515,2,0,0,2024-03-11 07:19:14
105,1,12,11,1516,2,0,0,2024-03-11 07:19:14
106,1,9,14,1517,2,0,0,2024-03-11 07:19:14
107,1,12,12,1518,2,0,0,2024-03-11 07:19:14
108,1,9,14,1519,2,0,0,2024-03-11 07:19:14
109,1,11,12,1520,2,0,0,2024-03-11 07:19:14
110,1,14,4,1521,1,0,0,2024-03-11 07:19:14
111,1,8,9,1522,2,0,0,2024-03-11 07:19:14
112,1,5,18,1523,0,0,0,2024-03-11 07:19:14
113,1,16,7,1524,2,0,0,2024-03-11 07:19:14
114,1,10,13,1525,2,0,0,2024-03-11 07:19:14
115,1,22,5,1526,1,0,0,2024-03-11 07:19:14
116,1,21,6,1527,1,0,0,2024-03-11 07:19:14
117,1,16,7,1528,2,0,0,2024-03-11 07:19:14
118,1,9,18,1529,2,0,0,2024-03-11 07:19:14
119,1,17,10,1531,2,0,0,2024-03-11 07:19:14
120,1,18,6,1532,1,0,0,2024-03-11 07:19:14
121,1,11,12,1533,2,0,0,2024-03-11 07:19:14
122,1,5,21,1534,0,0,0,2024-03-11 07:19:14
123,1,21,6,1535,1,0,0,2024-03-11 07:19:14
124,1,8,15,1536,2,0,0,2024-03-11 07:19:14
125,1,13,10,1537,2,0,0,2024-03-11 07:19:14
126,1,19,8,1538,1,0,0,2024-03-11 07:19:14
127,1,7,17,1539,0,0,0,2024-03-11 07:19:14
128,1,4,19,1540,0,0,0,2024-03-11 07:19:14
129,1,15,8,1541,2,0,0,2024-03-11 07:19:14
130,1,15,8,1542,2,0,0,2024-03-11 07:19:14
131,1,18,6,1543,1,0,0,2024-03-11 07:19:14
132,1,14,5,1544,1,0,0,2024-03-11 07:19:14
133,1,5,19,1545,0,0,0,2024-03-11 07:19:14
134,1,13,14,1546,2,0,0,2024-03-11 07:19:14
135,1,8,4,1547,2,0,0,2024-03-11 07:19:14
136,1,8,15,1549,2,0,0,2024-03-11 07:19:14
137,1,10,17,1550,2,0,0,2024-03-11 07:19:14
138,1,9,14,1551,2,0,0,2024-03-11 07:19:14
139,1,15,4,1552,1,0,0,2024-03-11 07:19:14
140,1,16,7,1553,2,0,0,2024-03-11 07:19:14
141,1,2,21,1554,0,0,0,2024-03-11 07:19:14
142,1,9,14,1555,2,0,0,2024-03-11 07:19:14
143,1,18,9,1557,2,0,0,2024-03-11 07:19:14
144,1,9,14,1558,2,0,0,2024-03-11 07:19:14
145,1,13,10,1559,2,0,0,2024-03-11 07:19:14
146,1,9,15,1560,2,0,0,2024-03-11 07:19:14
147,1,11,11,1561,2,0,0,2024-03-11 07:19:14
148,1,10,14,1562,2,0,0,2024-03-11 07:19:14
149,1,7,16,1564,0,0,0,2024-03-11 07:19:14
150,1,10,13,1565,2,0,0,2024-03-11 07:19:14
151,1,16,8,1566,2,0,0,2024-03-11 07:19:14
152,1,5,19,2152,0,0,0,2024-03-11 07:19:14
153,1,9,9,2153,2,0,0,2024-03-11 07:19:14
154,1,9,15,2154,2,0,0,2024-03-11 07:19:14
155,1,10,14,2155,2,0,0,2024-03-11 07:19:14
156,1,14,10,2156,2,0,0,2024-03-11 07:19:14
157,1,9,15,2157,2,0,0,2024-03-11 07:19:14
158,1,4,20,2158,0,0,0,2024-03-11 07:19:14
159,1,15,9,2159,2,0,0,2024-03-11 07:19:14
160,1,7,17,2160,0,0,0,2024-03-11 07:19:14
161,1,12,12,2161,2,0,0,2024-03-11 07:19:14
162,1,7,17,2162,0,0,0,2024-03-11 07:19:14
163,1,15,9,2163,2,0,0,2024-03-11 07:19:14
164,1,10,14,2165,2,0,0,2024-03-11 07:19:14
165,1,16,8,2166,2,0,0,2024-03-11 07:19:14
166,1,13,4,2167,1,0,0,2024-03-11 07:19:14
167,1,11,7,2168,2,0,0,2024-03-11 07:19:14
168,1,17,7,2169,1,0,0,2024-03-11 07:19:14
169,1,6,17,2170,0,0,0,2024-03-11 07:19:14
170,1,11,16,2171,2,0,0,2024-03-11 07:19:14
171,1,9,18,2172,2,0,0,2024-03-11 07:19:14
172,1,10,13,2173,2,0,0,2024-03-11 07:19:14
173,1,11,12,2174,2,0,0,2024-03-11 07:19:14
174,1,10,17,2175,2,0,0,2024-03-11 07:19:14
175,1,20,7,2176,1,0,0,2024-03-11 07:19:14
176,1,12,11,2177,2,0,0,2024-03-11 07:19:14
177,1,11,8,2178,2,0,0,2024-03-11 07:19:14
178,1,17,10,2179,2,0,0,2024-03-11 07:19:14
179,1,18,6,2180,1,0,0,2024-03-11 07:19:14
180,1,18,6,2182,1,0,0,2024-03-11 07:19:14
181,1,10,14,2183,2,0,0,2024-03-11 07:19:14
182,1,18,6,2184,1,0,0,2024-03-11 07:19:14
183,1,8,15,2185,2,0,0,2024-03-11 07:19:14
184,1,15,12,2186,2,0,0,2024-03-11 07:19:14
185,1,15,12,2187,2,0,0,2024-03-11 07:19:14
186,1,18,9,2188,2,0,0,2024-03-11 07:19:14
187,1,10,13,2189,2,0,0,2024-03-11 07:19:14
188,1,18,9,2190,2,0,0,2024-03-11 07:19:14
189,1,14,13,2191,2,0,0,2024-03-11 07:19:14
190,1,12,11,2205,2,0,0,2024-03-11 07:19:14
191,1,19,4,2207,1,0,0,2024-03-11 07:19:14
192,1,9,14,2214,2,0,0,2024-03-11 07:19:14
193,1,4,19,2224,0,0,0,2024-03-11 07:19:14
194,1,14,9,2225,2,0,0,2024-03-11 07:19:14
195,1,6,18,2226,0,0,0,2024-03-11 07:19:14
196,1,13,10,2233,2,0,0,2024-03-11 07:19:14
197,1,5,18,2234,0,0,0,2024-03-11 07:19:14
198,1,10,13,2235,2,0,0,2024-03-11 07:19:14
199,1,2,21,2236,0,0,0,2024-03-11 07:19:14
200,1,13,10,2237,2,0,0,2024-03-11 07:19:14
201,1,9,14,2238,2,0,0,2024-03-11 07:19:14
202,1,9,18,2239,2,0,0,2024-03-11 07:19:14
203,1,5,18,2240,0,0,0,2024-03-11 07:19:14
204,1,13,14,2241,2,0,0,2024-03-11 07:19:14
205,1,5,18,2243,0,0,0,2024-03-11 07:19:14
206,1,13,14,2244,2,0,0,2024-03-11 07:19:14
207,1,14,9,2245,2,0,0,2024-03-11 07:19:14
208,1,11,12,2246,2,0,0,2024-03-11 07:19:14
209,1,15,8,2247,2,0,0,2024-03-11 07:19:14
210,1,22,1,2248,1,0,0,2024-03-11 07:19:14
211,1,4,19,2249,0,0,0,2024-03-11 07:19:14
212,1,10,13,2250,2,0,0,2024-03-11 07:19:14
213,1,14,9,2251,2,0,0,2024-03-11 07:19:14
214,1,15,9,2252,2,0,0,2024-03-11 07:19:14
215,1,15,9,2254,2,0,0,2024-03-11 07:19:14
216,1,18,6,2255,1,0,0,2024-03-11 07:19:14
217,1,15,9,2256,2,0,0,2024-03-11 07:19:14
218,1,10,14,2257,2,0,0,2024-03-11 07:19:14
219,1,13,11,2258,2,0,0,2024-03-11 07:19:14
220,1,21,3,2259,1,0,0,2024-03-11 07:19:14
221,1,8,16,2260,2,0,0,2024-03-11 07:19:14
222,1,15,9,2261,2,0,0,2024-03-11 07:19:14
223,1,3,21,2262,0,0,0,2024-03-11 07:19:14
224,1,8,10,2263,2,0,0,2024-03-11 07:19:14
225,1,8,10,2264,2,0,0,2024-03-11 07:19:14
226,1,13,11,2265,2,0,0,2024-03-11 07:19:14
227,1,7,16,2266,0,0,0,2024-03-11 07:19:14
228,1,9,14,2267,2,0,0,2024-03-11 07:19:14
229,1,5,18,2268,0,0,0,2024-03-11 07:19:14
230,1,7,16,2269,0,0,0,2024-03-11 07:19:14
231,1,10,14,2270,2,0,0,2024-03-11 07:19:14
232,1,12,12,2271,2,0,0,2024-03-11 07:19:14
233,1,5,19,2272,0,0,0,2024-03-11 07:19:14
