,address,code_district,code_suburb,id,number,total_bases,last_updated,longitude,latitude,coordinates
0,"Calle Miguel Moya nº 1,",01,015,1406,2,27,2024-03-15 08:58:01,-3.70569,40.4204,"(-3.70569, 40.4204)"
1,"Plaza Conde Surchill, 4 ,",07,072,1407,3,19,2024-03-15 08:58:01,-3.7072537,40.4303223,"(-3.7072537, 40.4303223)"
2,"Calle Fuencarral nº 106,",01,014,1409,5,27,2024-03-15 08:58:01,-3.7021354,40.4285212,"(-3.7021354, 40.4285212)"
3,"Calle Hortaleza nº 63,",01,014,1410,6,19,2024-03-15 08:58:01,-3.698447,40.424148,"(-3.698447, 40.424148)"
4,"Calle Hortaleza nº 75,",01,014,1411,7,19,2024-03-15 08:58:01,-3.6977715,40.4251906,"(-3.6977715, 40.4251906)"
5,"Plaza de Alonso Martínez nº 6,",07,074,1412,8,24,2024-03-15 08:58:01,-3.6954403,40.4278682,"(-3.6954403, 40.4278682)"
6,"Plaza de San Miguel nº 10,",01,011,1413,9,24,2024-03-15 08:58:01,-3.7095084,40.4156057,"(-3.7095084, 40.4156057)"
7,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",01,014,1414,10,23,2024-03-15 08:58:01,-3.692104,40.425403,"(-3.692104, 40.425403)"
8,"Calle San Andrés nº 18 - 20,",01,015,1415,11,23,2024-03-15 08:58:01,-3.7036,40.427,"(-3.7036, 40.427)"
9,"Calle San Bernardo nº 85 - 87,",01,015,1416,12,27,2024-03-15 08:58:01,-3.7061406,40.4284667,"(-3.7061406, 40.4284667)"
10,"Calle Conde Duque nº 22,",01,015,1417,13,23,2024-03-15 08:58:01,-3.7105,40.4273,"(-3.7105, 40.4273)"
11,"Ventura Rodríguez, 3,",09,092,1418,14,27,2024-03-15 08:58:01,-3.7133069,40.4260425,"(-3.7133069, 40.4260425)"
12,"Calle norte nº 10,",01,015,1419,15,19,2024-03-15 08:58:01,-3.7074453,40.4262383,"(-3.7074453, 40.4262383)"
13,"Calle San Bernardo nº 22,",01,015,1420,16,19,2024-03-15 08:58:01,-3.7074808485065,40.4229374,"(-3.7074808485065, 40.4229374)"
14,"Plaza de Carlos Cambronero nº 2,",01,015,1421,17,23,2024-03-15 08:58:01,-3.704166,40.423126,"(-3.704166, 40.423126)"
15,"Plaza de Pedro Zerolo nº 20,",01,014,1422,18,24,2024-03-15 08:58:01,-3.6996776,40.4209251,"(-3.6996776, 40.4209251)"
